epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,model,total_training_time_sec,avg_epoch_time_sec,batch_size,epochs,image_size
30,102.514,1.39162,1.19625,1.16837,0.65725,0.63366,0.67536,0.36892,1.63098,1.2626,1.30859,0.0008516,0.0008516,0.0008516,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
31,106.133,1.39874,1.17579,1.19248,0.73325,0.59406,0.69636,0.39361,1.58432,1.22643,1.27646,0.000812,0.000812,0.000812,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
32,109.731,1.34555,1.13926,1.14597,0.73703,0.58276,0.69593,0.39362,1.5896,1.21061,1.28773,0.0007724,0.0007724,0.0007724,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
33,112.479,1.36102,1.20088,1.16528,0.73897,0.60891,0.70641,0.38016,1.60792,1.21635,1.2988,0.0007328,0.0007328,0.0007328,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
34,115.2,1.30245,1.14873,1.16308,0.73097,0.63366,0.7082,0.37171,1.62908,1.22148,1.31157,0.0006932,0.0006932,0.0006932,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
35,117.771,1.2907,1.12622,1.13051,0.68987,0.66073,0.69484,0.38372,1.57625,1.19778,1.27398,0.0006536,0.0006536,0.0006536,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
36,121.473,1.26375,1.13784,1.14631,0.65775,0.66832,0.69689,0.38803,1.56949,1.19264,1.25659,0.000614,0.000614,0.000614,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
37,125.009,1.33447,1.11812,1.14273,0.69122,0.65383,0.70757,0.39552,1.57849,1.18375,1.26582,0.0005744,0.0005744,0.0005744,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
38,127.643,1.26836,1.0967,1.15049,0.71336,0.62376,0.69691,0.37575,1.60004,1.26892,1.29679,0.0005348,0.0005348,0.0005348,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
39,130.218,1.22066,1.06203,1.1072,0.62752,0.63861,0.65991,0.34852,1.59231,1.32068,1.29894,0.0004952,0.0004952,0.0004952,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
40,132.865,1.23246,1.08144,1.1299,0.61858,0.63861,0.66178,0.3646,1.57576,1.2844,1.2963,0.0004556,0.0004556,0.0004556,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
41,139.089,1.34189,1.22843,1.17226,0.61691,0.64851,0.66961,0.37982,1.55669,1.23576,1.29014,0.000416,0.000416,0.000416,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
42,141.687,1.3265,1.173,1.18061,0.65675,0.62516,0.67372,0.38352,1.54973,1.21645,1.28448,0.0003764,0.0003764,0.0003764,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
43,144.186,1.33471,1.2485,1.14212,0.66295,0.63294,0.6792,0.38001,1.57632,1.24189,1.27473,0.0003368,0.0003368,0.0003368,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
44,146.86,1.30967,1.16511,1.14863,0.68589,0.61881,0.68332,0.37337,1.57705,1.22615,1.27375,0.0002972,0.0002972,0.0002972,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
45,149.63,1.28117,1.12631,1.1357,0.69057,0.58557,0.6834,0.37235,1.57967,1.2047,1.27531,0.0002576,0.0002576,0.0002576,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
46,153.828,1.31584,1.16316,1.13716,0.61173,0.63956,0.68651,0.37561,1.56751,1.19713,1.27393,0.000218,0.000218,0.000218,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
47,156.736,1.25301,1.20307,1.16212,0.62971,0.63982,0.69123,0.38288,1.55567,1.20066,1.26107,0.0001784,0.0001784,0.0001784,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
48,159.261,1.26657,1.14732,1.16162,0.64923,0.62376,0.69364,0.38745,1.55694,1.19241,1.26011,0.0001388,0.0001388,0.0001388,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
49,161.895,1.20021,1.04715,1.09625,0.63117,0.66832,0.69646,0.3866,1.56238,1.20141,1.25772,9.92e-05,9.92e-05,9.92e-05,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
50,164.538,1.30534,1.09501,1.1751,0.6208,0.67822,0.69525,0.3824,1.56399,1.2036,1.26081,5.96e-05,5.96e-05,5.96e-05,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
