model,training_log_found,training_total_time_sec,training_avg_epoch_time_sec,training_final_loss,training_best_loss,num_test_images,total_detections,avg_detections_per_image,inference_total_time_sec,inference_avg_time_per_image_sec,inference_fps
faster_rcnn_crater,True,1098.3594281673431,21.967188563346863,0.0812830766290426,0.0631453143805265,19,135,7.105263157894737,1.5923194885253906,0.0838062888697574,11.932278752422638
retinanet_crater,True,1008.0290060043335,20.16058012008667,0.0866458749771118,0.0866458749771118,19,127,6.684210526315789,1.4378564357757568,0.07567665451451351,13.214114794255561
yolov8n,True,182.7874655723572,3.655749311447144,1.30534,1.20021,19,125,6.578947368421052,0.8040361404418945,0.04231769160220498,23.630778573656762
