model,mAP50,mAP50_95,mAP75,precision,recall
yolov8n,0.5633370876312256,0.3179529309272766,0.30974459648132324,0.3179529309272766,0.3814569413661957
faster_rcnn_crater,0.5338036417961121,0.2870582938194275,0.29783228039741516,0.2870582938194275,0.35827815532684326
retinanet_crater,0.5752869844436646,0.29396677017211914,0.2874109447002411,0.29396677017211914,0.3708609342575073
